Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"P1.1",0,1,1,"1",1,4679.16,""
2,"P1.2",0,2,1,"1",1,4679.17,""
3,"P1.3",0,3,1,"1",1,4679.18,""
4,"P1.4",0,4,1,"1",1,4679.19,""
5,"P1.5",0,5,1,"1",1,4679.19,""
6,"P1.6",0,6,1,"1",1,4679.2,""
7,"P1.7",0,7,1,"1",1,4679.21,""
8,"P1.8",0,8,1,"1",1,4679.22,""
9,"P1.1",0,1,1,"1",1,4144.7,""
10,"P1.2",0,2,1,"1",1,4144.71,""
11,"P1.3",0,3,1,"1",1,4144.72,""
12,"P1.4",0,4,1,"1",1,4144.73,""
13,"P1.5",0,5,1,"1",1,4144.73,""
14,"P1.6",0,6,1,"1",1,4144.74,""
15,"P1.7",0,7,1,"1",1,4144.74,""
16,"P1.8",0,8,1,"1",1,4144.75,""
17,"P1.1",0,1,1,"1",1,4137.33,""
18,"P1.2",0,2,1,"1",1,4137.34,""
19,"P1.3",0,3,1,"1",1,4137.35,""
20,"P1.4",0,4,1,"1",1,4137.35,""
21,"P1.5",0,5,1,"1",1,4137.36,""
22,"P1.6",0,6,1,"1",1,4137.36,""
23,"P1.7",0,7,1,"1",1,4137.37,""
24,"P1.8",0,8,1,"1",1,4137.37,""
25,"P1.1",0,1,1,"1",1,4128.87,""
26,"P1.2",0,2,1,"1",1,4128.88,""
27,"P1.3",0,3,1,"1",1,4128.88,""
28,"P1.4",0,4,1,"1",1,4128.89,""
29,"P1.5",0,5,1,"1",1,4128.89,""
30,"P1.6",0,6,1,"1",1,4128.94,""
31,"P1.7",0,7,1,"1",1,4128.95,""
32,"P1.8",0,8,1,"1",1,4128.96,""
33,"P1.1",0,1,1,"1",1,4145.36,""
34,"P1.2",0,2,1,"1",1,4145.36,""
35,"P1.3",0,3,1,"1",1,4145.37,""
36,"P1.4",0,4,1,"1",1,4145.38,""
37,"P1.5",0,5,1,"1",1,4145.38,""
38,"P1.6",0,6,1,"1",1,4145.39,""
39,"P1.7",0,7,1,"1",1,4145.4,""
40,"P1.8",0,8,1,"1",1,4145.4,""
41,"P1.1",0,1,1,"1",1,4132.43,""
42,"P1.2",0,2,1,"1",1,4132.44,""
43,"P1.3",0,3,1,"1",1,4132.45,""
44,"P1.4",0,4,1,"1",1,4132.45,""
45,"P1.5",0,5,1,"1",1,4132.46,""
46,"P1.6",0,6,1,"1",1,4132.46,""
47,"P1.7",0,7,1,"1",1,4132.47,""
48,"P1.8",0,8,1,"1",1,4132.47,""
49,"P1.1",0,1,1,"1",1,4162.09,""
50,"P1.2",0,2,1,"1",1,4162.1,""
