Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"DIODE_GND","DIODE_GND",3016,"Parametric","t_slp_thrd_MPB",-1,-0.3,"V",-0.456644,-0.436282,-0.448473,0.00507418,9.75347,36.2309,9.75347,400,0,0,0.225948,75.0196
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3017,"Parametric","t_slp_thrd_MPB",-1600,75,"nA",-66,-36,-46.1348,8.74334,4.61818,59.24,4.61818,400,0,0,0.294371,78.6521
"SupplyShort_VDD","SupplyShort_VDD",19,"Parametric","t_slp_thrd_MPB",***,100,"uA",0.365199,1.25933,0.767129,0.115483,286.429,***,286.429,400,0,0,2.4223,20.1806
"ZOUT_AllOutputs","ZOUT_AllOutputs",18000001,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",214.666,218.872,216.413,1.35373,9.74772,17.8304,9.74772,400,0,0,1.73444,16.3029
"ZOUT_AllOutputs","ZOUT_AllOutputs",18000002,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",214.848,218.298,216.275,0.949184,13.9507,25.3813,13.9507,400,0,0,0.0501,16.3029
"ZOUT_AllOutputs","ZOUT_AllOutputs",18000003,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",214.532,217.855,215.836,1.0137,13.2069,23.6217,13.2069,400,0,0,0.05359,16.3029
"ZOUT_AllOutputs","ZOUT_AllOutputs",18000004,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",214.596,216.944,215.661,0.699964,19.21,34.1261,19.21,400,0,0,0.0491975,16.3029
"IIH_Inputs","IIH_Inputs",49,"Parametric","t_slp_thrd_MPB",***,180,"nA",0,1,0.774318,0.418046,142.907,***,142.907,400,0,0,0.304296,81.5459
"IIL_Inputs","IIL_Inputs",10049,"Parametric","t_slp_thrd_MPB",***,180,"nA",-1,1,-0.0781818,0.270996,221.502,***,221.502,400,0,0,0.298979,80.1779
"IOZ_P_GND","IOZ_P_GND",52,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.011,-0.004,-0.00732,0.00127737,780.947,780.947,784.767,400,0,0,2.23754,19.7358
"IOZ_P_GND","IOZ_P_GND",53,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.004,-0.0075875,0.00156796,636.159,636.159,639.386,400,0,0,0.0467,19.7358
"IOZ_P_GND","IOZ_P_GND",54,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.001,-0.006725,0.00236397,422.069,422.069,423.966,400,0,0,0.0434375,19.7358
"IOZ_P_GND","IOZ_P_GND",55,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.001,-0.00695,0.00252853,394.57,394.57,396.402,400,0,0,0.04564,19.7358
"IOZ_P_VDD","IOZ_P_VDD",10052,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.008,-0.001,-0.00398,0.00119716,834.205,834.205,836.421,400,0,0,2.20055,19.3842
"IOZ_P_VDD","IOZ_P_VDD",10053,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.009,-0.001,-0.00411,0.00141701,704.744,704.744,706.678,400,0,0,0.0466925,19.3842
"IOZ_P_VDD","IOZ_P_VDD",10054,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.007,0.002,-0.003505,0.00213691,467.418,467.418,468.512,400,0,0,0.043675,19.3842
"IOZ_P_VDD","IOZ_P_VDD",10055,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.009,0.001,-0.0035975,0.00235465,424.183,424.183,425.202,400,0,0,0.043115,19.3842
"IOZ_N_VDD","IOZ_N_VDD",20052,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.009,-0.001,-0.0042775,0.00159117,627.572,627.572,629.364,400,0,0,2.19245,19.4066
"IOZ_N_VDD","IOZ_N_VDD",20053,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.008,0,-0.004265,0.00181742,549.447,549.447,551.011,400,0,0,0.0499275,19.4066
"IOZ_N_VDD","IOZ_N_VDD",20054,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.008,0.002,-0.0037325,0.00162559,614.395,614.395,615.926,400,0,0,0.04579,19.4066
"IOZ_N_VDD","IOZ_N_VDD",20055,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,0.001,-0.0038775,0.00286846,348.169,348.169,349.07,400,0,0,0.04464,19.4066
"IOZ_N_GND","IOZ_N_GND",30052,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.004,-0.007665,0.00186184,535.731,535.731,538.476,400,0,0,2.21737,19.4883
"IOZ_N_GND","IOZ_N_GND",30053,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.014,-0.003,-0.00769,0.00200723,496.922,496.922,499.476,400,0,0,0.0454325,19.4883
"IOZ_N_GND","IOZ_N_GND",30054,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.011,-0.003,-0.0072025,0.00184119,541.824,541.824,544.432,400,0,0,0.044885,19.4883
"IOZ_N_GND","IOZ_N_GND",30055,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.014,-0.002,-0.007245,0.00294647,338.57,338.57,340.209,400,0,0,0.047195,19.4883
"ICC_shutdown_Vdd_LS1l_VDD","ICC_shutdown_Vdd_LS1l_VDD",57000001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.196045,0.409958,0.247767,0.0273651,112.701,***,112.701,400,0,0,13.0252,105.387
"ICC_shutdown_Vdd_LS1l_VDDP","ICC_shutdown_Vdd_LS1l_VDDP",57010001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.101567,0.864775,0.233555,0.140317,22.0132,***,22.0132,400,0,0,3.41858,110.254
"ICC_shutdn_Vdd_LS1f_VDD","ICC_shutdn_Vdd_LS1f_VDD",57020001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.099781,0.285501,0.146427,0.0227243,137.204,***,137.204,400,0,0,12.5962,101.574
"ICC_shutdn_Vdd_LS1f_VDDP","ICC_shutdn_Vdd_LS1f_VDDP",57030001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.053484,0.620458,0.150524,0.0931291,33.4642,***,33.4642,400,0,0,3.42045,110.406
"ICC_shutdn_Vdd_LS1h_VDD","ICC_shutdn_Vdd_LS1h_VDD",57040001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.067056,0.210574,0.109434,0.0186471,167.865,***,167.865,400,0,0,12.6651,102.115
