Test,Test#,Pattern,Wafer,Site,Pin,Device,Value,Unit,P/F,Time,TS Time,Print To Data Log
"DIODE_GND",3016,"",0,2,"B0_R7",1,-440.593,"mV","P",0.071689,***,""
"DIODE_GND",3116,"",0,2,"B1_R6",1,-440.024,"mV","P",0.071689,***,""
"DIODE_GND",3216,"",0,2,"B2_R5",1,-440.265,"mV","P",0.071689,***,""
"DIODE_GND",3316,"",0,2,"B3_R4",1,-440.09,"mV","P",0.071689,***,""
"DIODE_GND",3416,"",0,2,"B4_R3",1,-440.976,"mV","P",0.071689,***,""
"DIODE_GND",3516,"",0,2,"B5_R2",1,-441.033,"mV","P",0.071689,***,""
"DIODE_GND",3616,"",0,2,"B6_R1",1,-442.14,"mV","P",0.071689,***,""
"DIODE_GND",3716,"",0,2,"B7_R0",1,-442.813,"mV","P",0.071689,***,""
"DIODE_GND",3816,"",0,2,"CLKN",1,-441.033,"mV","P",0.071689,***,""
"DIODE_GND",3916,"",0,2,"CLKP",1,-441.147,"mV","P",0.071689,***,""
"DIODE_GND",4016,"",0,2,"CPOL",1,-438.717,"mV","P",0.071689,***,""
"DIODE_GND",4116,"",0,2,"D0N",1,-439.901,"mV","P",0.071689,***,""
"DIODE_GND",4216,"",0,2,"D0P",1,-440.791,"mV","P",0.071689,***,""
"DIODE_GND",4316,"",0,2,"D1N",1,-441.077,"mV","P",0.071689,***,""
"DIODE_GND",4416,"",0,2,"D1P",1,-441.376,"mV","P",0.071689,***,""
"DIODE_GND",4516,"",0,2,"D2N",1,-442.978,"mV","P",0.071689,***,""
"DIODE_GND",4616,"",0,2,"D2P",1,-444.135,"mV","P",0.071689,***,""
"DIODE_GND",4716,"",0,2,"DE",1,-440.307,"mV","P",0.071689,***,""
"DIODE_GND",4816,"",0,2,"G0_G7",1,-441.852,"mV","P",0.071689,***,""
"DIODE_GND",4916,"",0,2,"G1_G6",1,-444.097,"mV","P",0.071689,***,""
"DIODE_GND",5016,"",0,2,"G2_G5",1,-444.586,"mV","P",0.071689,***,""
"DIODE_GND",5116,"",0,2,"G3_G4",1,-445,"mV","P",0.071689,***,""
"DIODE_GND",5216,"",0,2,"G4_G3",1,-443.868,"mV","P",0.071689,***,""
"DIODE_GND",5316,"",0,2,"G5_G2",1,-444.523,"mV","P",0.071689,***,""
"DIODE_GND",5416,"",0,2,"G6_G1",1,-444.313,"mV","P",0.071689,***,""
"DIODE_GND",5516,"",0,2,"G7_G0",1,-444.084,"mV","P",0.071689,***,""
"DIODE_GND",5616,"",0,2,"HS",1,-439.493,"mV","P",0.071689,***,""
"DIODE_GND",5716,"",0,2,"LS0",1,-443.512,"mV","P",0.071689,***,""
"DIODE_GND",5816,"",0,2,"LS1",1,-445.013,"mV","P",0.071689,***,""
"DIODE_GND",5916,"",0,2,"PCLK",1,-440.192,"mV","P",0.071689,***,""
"DIODE_GND",6016,"",0,2,"R0_B7",1,-442.78,"mV","P",0.071689,***,""
"DIODE_GND",6116,"",0,2,"R1_B6",1,-444.599,"mV","P",0.071689,***,""
"DIODE_GND",6216,"",0,2,"R2_B5",1,-444.37,"mV","P",0.071689,***,""
"DIODE_GND",6316,"",0,2,"R3_B4",1,-445.814,"mV","P",0.071689,***,""
"DIODE_GND",6416,"",0,2,"R4_B3",1,-444.014,"mV","P",0.071689,***,""
"DIODE_GND",6516,"",0,2,"R5_B2",1,-441.695,"mV","P",0.071689,***,""
"DIODE_GND",6616,"",0,2,"R6_B1",1,-444.027,"mV","P",0.071689,***,""
"DIODE_GND",6716,"",0,2,"R7_B0",1,-440.939,"mV","P",0.071689,***,""
"DIODE_GND",6816,"",0,2,"SWAP",1,-440.151,"mV","P",0.071689,***,""
"DIODE_GND",6916,"",0,2,"TXEN",1,-439.346,"mV","P",0.071689,***,""
"DIODE_GND",7016,"",0,2,"VS",1,-440.24,"mV","P",0.071689,***,""
"PIN2PIN_ODD_ROW",3017,"",0,2,"B0_R7",1,-61,"nA","P",0.049654,***,""
"PIN2PIN_ODD_ROW",3117,"",0,2,"B1_R6",1,-60,"nA","P",0.049654,***,""
"PIN2PIN_ODD_ROW",3217,"",0,2,"B2_R5",1,-60,"nA","P",0.049654,***,""
"PIN2PIN_ODD_ROW",3317,"",0,2,"B3_R4",1,-58,"nA","P",0.049654,***,""
"PIN2PIN_ODD_ROW",3417,"",0,2,"B4_R3",1,-59,"nA","P",0.049654,***,""
"PIN2PIN_ODD_ROW",3517,"",0,2,"B5_R2",1,-59,"nA","P",0.049654,***,""
"PIN2PIN_ODD_ROW",3617,"",0,2,"B6_R1",1,-58,"nA","P",0.049654,***,""
