Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"DIODE_GND","DIODE_GND",3016,"Parametric","",-1000,-300,"mV",-440.593,-440.593,-440.593,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3116,"Parametric","",-1000,-300,"mV",-440.024,-440.024,-440.024,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3216,"Parametric","",-1000,-300,"mV",-440.265,-440.265,-440.265,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3316,"Parametric","",-1000,-300,"mV",-440.09,-440.09,-440.09,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3416,"Parametric","",-1000,-300,"mV",-440.976,-440.976,-440.976,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3516,"Parametric","",-1000,-300,"mV",-441.033,-441.033,-441.033,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3616,"Parametric","",-1000,-300,"mV",-442.14,-442.14,-442.14,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3716,"Parametric","",-1000,-300,"mV",-442.813,-442.813,-442.813,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3816,"Parametric","",-1000,-300,"mV",-441.033,-441.033,-441.033,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",3916,"Parametric","",-1000,-300,"mV",-441.147,-441.147,-441.147,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4016,"Parametric","",-1000,-300,"mV",-438.717,-438.717,-438.717,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4116,"Parametric","",-1000,-300,"mV",-439.901,-439.901,-439.901,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4216,"Parametric","",-1000,-300,"mV",-440.791,-440.791,-440.791,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4316,"Parametric","",-1000,-300,"mV",-441.077,-441.077,-441.077,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4416,"Parametric","",-1000,-300,"mV",-441.376,-441.376,-441.376,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4516,"Parametric","",-1000,-300,"mV",-442.978,-442.978,-442.978,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4616,"Parametric","",-1000,-300,"mV",-444.135,-444.135,-444.135,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4716,"Parametric","",-1000,-300,"mV",-440.307,-440.307,-440.307,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4816,"Parametric","",-1000,-300,"mV",-441.852,-441.852,-441.852,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",4916,"Parametric","",-1000,-300,"mV",-444.097,-444.097,-444.097,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5016,"Parametric","",-1000,-300,"mV",-444.586,-444.586,-444.586,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5116,"Parametric","",-1000,-300,"mV",-445,-445,-445,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5216,"Parametric","",-1000,-300,"mV",-443.868,-443.868,-443.868,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5316,"Parametric","",-1000,-300,"mV",-444.523,-444.523,-444.523,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5416,"Parametric","",-1000,-300,"mV",-444.313,-444.313,-444.313,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5516,"Parametric","",-1000,-300,"mV",-444.084,-444.084,-444.084,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5616,"Parametric","",-1000,-300,"mV",-439.493,-439.493,-439.493,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5716,"Parametric","",-1000,-300,"mV",-443.512,-443.512,-443.512,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5816,"Parametric","",-1000,-300,"mV",-445.013,-445.013,-445.013,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",5916,"Parametric","",-1000,-300,"mV",-440.192,-440.192,-440.192,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6016,"Parametric","",-1000,-300,"mV",-442.78,-442.78,-442.78,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6116,"Parametric","",-1000,-300,"mV",-444.599,-444.599,-444.599,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6216,"Parametric","",-1000,-300,"mV",-444.37,-444.37,-444.37,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6316,"Parametric","",-1000,-300,"mV",-445.814,-445.814,-445.814,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6416,"Parametric","",-1000,-300,"mV",-444.014,-444.014,-444.014,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6516,"Parametric","",-1000,-300,"mV",-441.695,-441.695,-441.695,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6616,"Parametric","",-1000,-300,"mV",-444.027,-444.027,-444.027,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6716,"Parametric","",-1000,-300,"mV",-440.939,-440.939,-440.939,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6816,"Parametric","",-1000,-300,"mV",-440.151,-440.151,-440.151,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",6916,"Parametric","",-1000,-300,"mV",-439.346,-439.346,-439.346,0,***,***,***,1,0,0,0.071689,***
"DIODE_GND","DIODE_GND",7016,"Parametric","",-1000,-300,"mV",-440.24,-440.24,-440.24,0,***,***,***,1,0,0,0.071689,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3017,"Parametric","",-1600,75,"nA",-61,-61,-61,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3117,"Parametric","",-1600,75,"nA",-60,-60,-60,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3217,"Parametric","",-1600,75,"nA",-60,-60,-60,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3317,"Parametric","",-1600,75,"nA",-58,-58,-58,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3417,"Parametric","",-1600,75,"nA",-59,-59,-59,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3517,"Parametric","",-1600,75,"nA",-59,-59,-59,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3617,"Parametric","",-1600,75,"nA",-58,-58,-58,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3717,"Parametric","",-1600,75,"nA",-58,-58,-58,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3817,"Parametric","",-1600,75,"nA",-60,-60,-60,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3917,"Parametric","",-1600,75,"nA",-59,-59,-59,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",4017,"Parametric","",-1600,75,"nA",-57,-57,-57,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",4117,"Parametric","",-1600,75,"nA",-53,-53,-53,0,***,***,***,1,0,0,0.049654,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",4217,"Parametric","",-1600,75,"nA",-55,-55,-55,0,***,***,***,1,0,0,0.049654,***
