Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"P1.1",0,1,1,"1",1,4747.26,""
2,"P1.2",0,2,1,"1",1,4747.28,""
3,"P1.3",0,3,1,"1",1,4747.29,""
4,"P1.4",0,4,1,"1",1,4747.3,""
5,"P1.5",0,5,1,"1",1,4747.31,""
6,"P1.6",0,6,1,"1",1,4747.32,""
7,"P1.7",0,7,1,"1",1,4747.34,""
8,"P1.8",0,8,1,"1",1,4747.35,""
9,"P1.1",0,1,1,"1",1,4210.91,""
10,"P1.2",0,2,1,"1",1,4210.94,""
11,"P1.3",0,3,1,"1",1,4210.97,""
12,"P1.4",0,4,1,"1",1,4210.99,""
13,"P1.5",0,5,1,"1",1,4211.02,""
14,"P1.6",0,6,1,"1",1,4211.05,""
15,"P1.7",0,7,1,"1",1,4211.07,""
16,"P1.8",0,8,1,"1",1,4211.09,""
17,"P1.1",0,1,1,"1",1,4210.62,""
18,"P1.2",0,2,1,"1",1,4210.63,""
19,"P1.3",0,3,1,"1",1,4210.64,""
20,"P1.4",0,4,1,"1",1,4210.65,""
21,"P1.5",0,5,1,"1",1,4210.66,""
22,"P1.6",0,6,1,"1",1,4210.66,""
23,"P1.7",0,7,1,"1",1,4210.69,""
24,"P1.8",0,8,1,"1",1,4210.7,""
25,"P1.1",0,1,1,"1",1,4207.27,""
26,"P1.2",0,2,1,"1",1,4207.27,""
27,"P1.3",0,3,1,"1",1,4207.28,""
28,"P1.4",0,4,1,"1",1,4207.29,""
29,"P1.5",0,5,1,"1",1,4207.29,""
30,"P1.6",0,6,1,"1",1,4207.3,""
31,"P1.7",0,7,1,"1",1,4207.31,""
32,"P1.8",0,8,1,"1",1,4207.31,""
33,"P1.1",0,1,1,"1",1,4188.48,""
34,"P1.2",0,2,1,"1",1,4188.49,""
35,"P1.3",0,3,1,"1",1,4188.49,""
36,"P1.4",0,4,1,"1",1,4188.5,""
37,"P1.5",0,5,1,"1",1,4188.51,""
38,"P1.6",0,6,1,"1",1,4188.79,""
39,"P1.7",0,7,1,"1",1,4188.86,""
40,"P1.8",0,8,1,"1",1,4188.88,""
41,"P1.1",0,1,1,"1",1,4189.16,""
42,"P1.2",0,2,1,"1",1,4189.18,""
43,"P1.3",0,3,1,"1",1,4189.19,""
44,"P1.4",0,4,1,"1",1,4189.2,""
45,"P1.5",0,5,1,"1",1,4189.21,""
46,"P1.6",0,6,1,"1",1,4189.23,""
47,"P1.7",0,7,1,"1",1,4189.24,""
48,"P1.8",0,8,1,"1",1,4189.26,""
49,"P1.1",0,1,1,"1",1,4189.28,""
50,"P1.2",0,2,1,"1",1,4189.29,""
51,"P1.3",0,3,1,"1",1,4189.31,""
52,"P1.4",0,4,1,"1",1,4189.32,""
53,"P1.5",0,5,1,"1",1,4189.37,""
54,"P1.6",0,6,1,"1",1,4189.38,""
55,"P1.7",0,7,1,"1",1,4189.39,""
56,"P1.8",0,8,1,"1",1,4189.4,""
57,"P1.1",0,1,1,"1",1,4177.4,""
58,"P1.2",0,2,1,"1",1,4177.41,""
59,"P1.3",0,3,1,"1",1,4177.41,""
60,"P1.4",0,4,1,"1",1,4177.42,""
61,"P1.5",0,5,1,"1",1,4177.43,""
62,"P1.6",0,6,1,"1",1,4177.43,""
63,"P1.7",0,7,1,"1",1,4177.44,""
64,"P1.8",0,8,1,"1",1,4177.45,""
65,"P1.1",0,1,1,"1",1,4209.28,""
66,"P1.2",0,2,1,"1",1,4209.29,""
67,"P1.3",0,3,1,"1",1,4209.3,""
68,"P1.4",0,4,1,"1",1,4209.31,""
69,"P1.5",0,5,1,"1",1,4209.31,""
70,"P1.6",0,6,1,"1",1,4209.32,""
71,"P1.7",0,7,1,"1",1,4209.33,""
72,"P1.8",0,8,1,"1",1,4209.34,""
73,"P1.1",0,1,1,"1",1,4218.31,""
74,"P1.2",0,2,1,"1",1,4218.32,""
75,"P1.3",0,3,1,"1",1,4218.33,""
76,"P1.4",0,4,1,"1",1,4218.33,""
77,"P1.5",0,5,1,"1",1,4218.38,""
78,"P1.6",0,6,1,"1",1,4218.39,""
79,"P1.7",0,7,1,"1",1,4218.39,""
80,"P1.8",0,8,1,"1",1,4218.4,""
81,"P1.1",0,1,1,"1",1,4200.72,""
82,"P1.2",0,2,1,"1",1,4200.72,""
83,"P1.3",0,3,1,"1",1,4200.83,""
84,"P1.4",0,4,1,"1",1,4200.85,""
85,"P1.5",0,5,1,"1",1,4200.86,""
86,"P1.6",0,6,1,"1",1,4200.86,""
87,"P1.7",0,7,1,"1",1,4200.89,""
88,"P1.8",0,8,1,"1",1,4200.94,""
89,"P1.1",0,1,1,"1",1,4227.95,""
90,"P1.2",0,2,1,"1",1,4227.96,""
91,"P1.3",0,3,1,"1",1,4227.97,""
92,"P1.4",0,4,1,"1",1,4228.05,""
93,"P1.5",0,5,1,"1",1,4228.06,""
94,"P1.6",0,6,1,"1",1,4228.06,""
95,"P1.7",0,7,1,"1",1,4228.13,""
96,"P1.8",0,8,1,"1",1,4228.14,""
97,"P1.1",0,1,1,"1",1,4197.55,""
98,"P1.2",0,2,1,"1",1,4197.56,""
99,"P1.3",0,3,1,"1",1,4197.57,""
100,"P1.4",0,4,1,"1",1,4197.57,""
101,"P1.5",0,5,1,"1",1,4197.58,""
102,"P1.6",0,6,1,"1",1,4197.59,""
