Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"DIODE_GND","DIODE_GND",3016,"Parametric","t_slp_thrd_MPB",-1,-0.3,"V",-0.453753,-0.435518,-0.4436,0.00368902,12.9755,50.2754,12.9755,400,0,0,0.235043,78.0136
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3017,"Parametric","t_slp_thrd_MPB",-1600,75,"nA",-70,-40,-55.1288,6.85656,6.32624,75.1043,6.32624,400,0,0,0.30437,81.4146
"SupplyShort_VDD","SupplyShort_VDD",19,"Parametric","t_slp_thrd_MPB",***,100,"uA",0.392297,1.10787,0.783352,0.123454,267.89,***,267.89,400,0,0,2.52195,21.1157
"ZOUT_AllOutputs","ZOUT_AllOutputs",18000001,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",215.137,218.732,217.022,1.16628,11.1402,20.8705,11.1402,400,0,0,1.82656,17.2213
"ZOUT_AllOutputs","ZOUT_AllOutputs",18000002,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",216.056,218.249,217.209,0.679573,19.027,35.9095,19.027,400,0,0,0.053715,17.2213
"ZOUT_AllOutputs","ZOUT_AllOutputs",18000003,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",214.959,217.601,216.348,0.981889,13.4611,24.5608,13.4611,400,0,0,0.0530075,17.2213
"ZOUT_AllOutputs","ZOUT_AllOutputs",18000004,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",215.119,218.145,216.86,0.898954,14.5132,27.0165,14.5132,400,0,0,0.0521525,17.2213
"IIH_Inputs","IIH_Inputs",49,"Parametric","t_slp_thrd_MPB",***,180,"nA",0,2,0.945,0.252283,236.58,***,236.58,400,0,0,0.306277,82.1561
"IIL_Inputs","IIL_Inputs",10049,"Parametric","t_slp_thrd_MPB",***,180,"nA",-1,1,-0.0957576,0.297852,201.549,***,201.549,400,0,0,0.306537,82.3506
"IOZ_P_GND","IOZ_P_GND",52,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.011,-0.005,-0.0075775,0.00126807,786.605,786.605,790.589,400,0,0,2.35775,20.826
"IOZ_P_GND","IOZ_P_GND",53,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.004,-0.007585,0.00146052,682.958,682.958,686.421,400,0,0,0.0441625,20.826
"IOZ_P_GND","IOZ_P_GND",54,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.011,-0.001,-0.00672,0.00233779,426.796,426.796,428.713,400,0,0,0.0455275,20.826
"IOZ_P_GND","IOZ_P_GND",55,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.011,-0.002,-0.006905,0.00235155,424.272,424.272,426.23,400,0,0,0.0417325,20.826
"IOZ_P_VDD","IOZ_P_VDD",10052,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.007,0,-0.003765,0.0015018,665.03,665.03,666.702,400,0,0,2.24081,19.9317
"IOZ_P_VDD","IOZ_P_VDD",10053,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.007,0,-0.00381,0.00169443,589.421,589.421,590.92,400,0,0,0.0473925,19.9317
"IOZ_P_VDD","IOZ_P_VDD",10054,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.008,0.003,-0.0030675,0.00223168,447.635,447.635,448.551,400,0,0,0.0486775,19.9317
"IOZ_P_VDD","IOZ_P_VDD",10055,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.008,0.002,-0.003005,0.00259554,384.891,384.891,385.663,400,0,0,0.049195,19.9317
"IOZ_N_VDD","IOZ_N_VDD",20052,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.009,0.001,-0.00392,0.00185126,539.466,539.466,540.878,400,0,0,2.32997,20.5951
"IOZ_N_VDD","IOZ_N_VDD",20053,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.008,0,-0.00394,0.00204985,487.199,487.199,488.48,400,0,0,0.0445325,20.5951
"IOZ_N_VDD","IOZ_N_VDD",20054,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.008,0.001,-0.003305,0.00186431,535.8,535.8,536.981,400,0,0,0.044765,20.5951
"IOZ_N_VDD","IOZ_N_VDD",20055,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.011,0.002,-0.00323,0.00325863,306.547,306.547,307.208,400,0,0,0.044755,20.5951
"IOZ_N_GND","IOZ_N_GND",30052,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.003,-0.00783,0.00167873,594.133,594.133,597.242,400,0,0,2.30111,20.4282
"IOZ_N_GND","IOZ_N_GND",30053,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.003,-0.0077025,0.0018729,532.56,532.56,535.302,400,0,0,0.047295,20.4282
"IOZ_N_GND","IOZ_N_GND",30054,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.011,-0.002,-0.00705,0.00195373,510.64,510.64,513.046,400,0,0,0.05046,20.4282
"IOZ_N_GND","IOZ_N_GND",30055,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.015,-0.003,-0.007085,0.00308408,323.48,323.48,325.011,400,0,0,0.0465775,20.4282
"ICC_shutdown_Vdd_LS1l_VDD","ICC_shutdown_Vdd_LS1l_VDD",57000001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.204587,0.441068,0.25556,0.0308342,99.937,***,99.937,400,0,0,13.0813,105.982
"ICC_shutdown_Vdd_LS1l_VDDP","ICC_shutdown_Vdd_LS1l_VDDP",57010001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.09608,0.925629,0.234623,0.141879,21.7683,***,21.7683,400,0,0,3.43883,111.038
"ICC_shutdn_Vdd_LS1f_VDD","ICC_shutdn_Vdd_LS1f_VDD",57020001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.110288,0.306202,0.153577,0.0249607,124.815,***,124.815,400,0,0,12.662,102.172
"ICC_shutdn_Vdd_LS1f_VDDP","ICC_shutdn_Vdd_LS1f_VDDP",57030001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.041412,0.654763,0.151012,0.0937496,33.241,***,33.241,400,0,0,3.43216,110.861
"ICC_shutdn_Vdd_LS1h_VDD","ICC_shutdn_Vdd_LS1h_VDD",57040001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.071221,0.236984,0.117404,0.0206301,151.6,***,151.6,400,0,0,12.7116,102.697
"ICC_shutdn_Vdd_LS1h_VDDP","ICC_shutdn_Vdd_LS1h_VDDP",57050001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.03526,0.510726,0.114783,0.0721263,43.374,***,43.374,400,0,0,3.43551,110.945
"ICC_shutdown_0V_LS1l_VDD","ICC_shutdown_0V_LS1l_VDD",41000001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.049115,0.182904,0.0961187,0.018079,173.385,***,173.385,400,0,0,12.4898,100.894
"ICC_shutdown_0V_LS1l_VDDP","ICC_shutdown_0V_LS1l_VDDP",41010001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.017717,0.433157,0.0948878,0.0606741,51.6701,***,51.6701,400,0,0,3.38612,109.415
"ICC_shutdn_0V_LS1f_VDD","ICC_shutdn_0V_LS1f_VDD",41020001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.040437,0.178972,0.0866768,0.0181303,173.068,***,173.068,400,0,0,12.4816,100.865
"ICC_shutdn_0V_LS1f_VDDP","ICC_shutdn_0V_LS1f_VDDP",41030001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.008028,0.388372,0.083025,0.0539709,58.1609,***,58.1609,400,0,0,3.38058,109.249
"ICC_shutdn_0V_LS1h_VDD","ICC_shutdn_0V_LS1h_VDD",41040001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.035531,0.15246,0.0790116,0.0166621,188.472,***,188.472,400,0,0,12.6637,102.368
"ICC_shutdn_0V_LS1h_VDDP","ICC_shutdn_0V_LS1h_VDDP",41050001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.003647,0.358769,0.0744074,0.0486943,64.5223,***,64.5223,400,0,0,3.4422,111.15
"ICC_stdby_Vdd_LS1l_VDD","ICC_stdby_Vdd_LS1l_VDD",60000001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.032378,0.13479,0.0763938,0.0163516,192.104,***,192.104,400,0,0,12.7482,102.935
"ICC_stdby_Vdd_LS1l_VDDP","ICC_stdby_Vdd_LS1l_VDDP",60010001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",-0.009591,0.324418,0.0680572,0.0452966,69.4088,***,69.4088,400,0,0,3.43512,110.968
"ICC_stdby_Vdd_LS1f_VDD","ICC_stdby_Vdd_LS1f_VDD",60020001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.033954,0.140425,0.0746911,0.0161317,194.758,***,194.758,400,0,0,12.4245,100.379
"ICC_stdby_Vdd_LS1f_VDDP","ICC_stdby_Vdd_LS1f_VDDP",60030001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",-0.005683,0.293518,0.0625711,0.0420594,74.7944,***,74.7944,400,0,0,3.379,109.047
"ICC_stdby_Vdd_LS1h_VDD","ICC_stdby_Vdd_LS1h_VDD",60040001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.016615,0.136873,0.0706041,0.0164591,190.966,***,190.966,400,0,0,12.4797,100.838
"ICC_stdby_Vdd_LS1h_VDDP","ICC_stdby_Vdd_LS1h_VDDP",60050001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",-0.000972,0.255226,0.0595487,0.0401351,78.4056,***,78.4056,400,0,0,3.38095,109.156
"ICC_stdby_0V_LS1l_VDD","ICC_stdby_0V_LS1l_VDD",89000001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.028207,0.132434,0.0662263,0.0148185,212.207,***,212.207,400,0,0,12.7277,102.798
"ICC_stdby_0V_LS1l_VDDP","ICC_stdby_0V_LS1l_VDDP",89010001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",-0.013521,0.268675,0.0560791,0.0380907,82.644,***,82.644,400,0,0,3.44216,111.113
"ICC_stdby_0V_LS1f_VDD","ICC_stdby_0V_LS1f_VDD",89020001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.023314,0.112677,0.0637422,0.0143667,218.938,***,218.938,400,0,0,12.7166,102.662
"ICC_stdby_0V_LS1f_VDDP","ICC_stdby_0V_LS1f_VDDP",89030001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",-0.007914,0.235893,0.0539525,0.0370817,84.9121,***,84.9121,400,0,0,3.43574,110.961
"ICC_stdby_0V_LS1h_VDD","ICC_stdby_0V_LS1h_VDD",89040001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",0.024264,0.104563,0.0609178,0.0143841,218.739,***,218.739,400,0,0,12.678,102.439
"ICC_stdby_0V_LS1h_VDDP","ICC_stdby_0V_LS1h_VDDP",89050001,"Parametric","t_slp_thrd_MPB",***,9.5,"uA",-0.017334,0.214742,0.0517745,0.03549,88.7406,***,88.7406,400,0,0,3.59995,116.175
"ICC_MAX_TOTAL_1CH_pwr","ICC_MAX_TOTAL_1CH_pwr",39015001,"Parametric","ICC_MAX_Thrd_MPB",6.5e-05,18.3,"mA",15.4679,16.3014,15.9784,0.234977,3.29331,22.6666,3.29331,400,0,0,4.32071,36.2778
"ICC_MAX_TOTAL_1CH_pwr","LVDS301_ICC_pll",39004000,"Parametric","ICC_MAX_Thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,0.02613,36.2778
"ICC_MAX_TOTAL_2CH_pwr","ICC_MAX_TOTAL_2CH_pwr",15000001,"Parametric","ICC_2CHM_MAX_Thrd_MPB",200,***,"uA",2841.28,17800.2,7676.45,5513.49,***,0.45201,***,400,0,0,0.832242,35.1655
"ICC_MAX_TOTAL_2CH_pwr","ICC_MAX_TOTAL_2CH_pwr_VDD_VDDP_VDDA_VDDS",15015001,"Parametric","ICC_2CHM_MAX_Thrd_MPB",0.2,25.3,"mA",22.3319,23.1588,22.8648,0.259332,3.13004,29.1324,3.13004,400,0,0,0.0527725,35.1655
"ICC_MAX_TOTAL_2CH_pwr","LVDS301_ICC_pll",15004000,"Parametric","ICC_2CHM_MAX_Thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,0.02884,35.1655
"ICC_MAX_TOTAL_3CH_pwr","ICC_MAX_TOTAL_3CH_pwr",13000001,"Parametric","ICC_MAX_3CHM_thrd_MPB",1,***,"mA",4.03346,21.7625,9.87691,6.67126,***,0.44354,***,400,0,0,0.810688,34.255
"ICC_MAX_TOTAL_3CH_pwr","ICC_MAX_TOTAL_3CH_pwr_VDD_VDDP_VDDA_VDDS",13015001,"Parametric","ICC_MAX_3CHM_thrd_MPB",6.5e-06,37.8,"mA",29.2933,30.3277,29.9364,0.31261,8.38491,31.9209,8.38491,400,0,0,0.0471425,34.255
"ICC_MAX_TOTAL_3CH_pwr","LVDS301_ICC_pll",13004000,"Parametric","ICC_MAX_3CHM_thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,0.02695,34.255
"ICC_shutdown_Vdd","ICC_shutdown_Vdd",23000001,"Parametric","LVDS_SHTDN_Thrd_MPB",***,9.5,"uA",-0.008538,0.218923,0.0531551,0.0327104,96.2675,***,96.2675,400,0,0,3.33349,134.904
"ICC_shutdown_Vdd","LVDS301_ICC_pll",23004000,"Parametric","LVDS_SHTDN_Thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,0.02648,134.904
"ICC_shutdn_0V","ICC_shutdn_0V",23010001,"Parametric","LVDS_SHTDN_Thrd_MPB",***,9.5,"uA",-0.005662,0.235186,0.0509361,0.0312376,100.83,***,100.83,400,0,0,3.01552,121.535
"ICC_stdby_Vdd","ICC_stdby_Vdd",23020001,"Parametric","LVDS_SHTDN_Thrd_MPB",***,9.5,"uA",-0.019543,0.221318,0.0500414,0.031079,101.354,***,101.354,400,0,0,3.0188,121.626
"ICC_stdby_0V","ICC_stdby_0V",23030001,"Parametric","LVDS_SHTDN_Thrd_MPB",***,9.5,"uA",-0.006491,0.21171,0.0490128,0.0301491,104.492,***,104.492,400,0,0,3.1199,125.703
"PRBS_1ch","L301_PRBS_30b_00X00_tdl_NR2",14000001,"Parametric","1ch_X5_mpb",1,1,"",1,1,1,0,***,***,***,400,0,0,2.31798,19.8507
"Func_2CH","L301_PRBS_15b_00X00_tdl_NR",32000001,"Parametric","2ch_X5_mpb",1,1,"",1,1,1,0,***,***,***,400,0,0,1.24725,11.0384
"Func_3CH","L301_PRBS_10b_00X00_tdl_NR",34000001,"Parametric","3ch_X5_mpb",1,1,"",1,1,1,0,***,***,***,400,0,0,1.85736,15.8812
"t_pwrup_GNG","LVDS301_ICC_pll",12000001,"Parametric","t_pwrup_thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,2.53837,21.6218
"t_wkup_GNG","LVDS301_ICC_pll",12010001,"Parametric","t_wkup_thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,0.98689,8.6257
"tGS_GNG","LVDS301_ICC_pll",40000001,"Parametric","tGS_thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,1.06969,9.26618
"t_pwrdn_GNG","LVDS301_ICC_pll",40010001,"Parametric","t_pwrdn_thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,1.05564,9.47344
"t_sleep_GNG","LVDS301_ICC_pll",40020001,"Parametric","t_slp_thrd_MPB",1,1,"",1,1,1,0,***,***,***,400,0,0,1.08091,9.39054
"ZOUT_AllOutputs_Post","ZOUT_AllOutputs_Post",180000001,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",215.193,218.684,217.029,1.16015,11.1972,20.9826,11.1972,400,0,0,2.17362,19.8388
"ZOUT_AllOutputs_Post","ZOUT_AllOutputs_Post",180000002,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",216.044,218.261,217.21,0.671992,19.2411,36.3151,19.2411,400,0,0,0.04998,19.8388
"ZOUT_AllOutputs_Post","ZOUT_AllOutputs_Post",180000003,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",215.005,217.589,216.346,0.974572,13.5628,24.7446,13.5628,400,0,0,0.0498375,19.8388
"ZOUT_AllOutputs_Post","ZOUT_AllOutputs_Post",180000004,"Parametric","t_slp_thrd_MPB",144,256,"Ohm",215.107,218.122,216.866,0.905049,14.4134,26.8367,14.4134,400,0,0,0.048955,19.8388
"IIH_Inputs_Post","IIH_Inputs_Post",149,"Parametric","t_slp_thrd_MPB",***,180,"nA",0,2,0.930076,0.271155,220.132,***,220.132,400,0,0,0.307605,82.5443
"IIL_Inputs_Post","IIL_Inputs_Post",1049,"Parametric","t_slp_thrd_MPB",***,180,"nA",-1,1,-0.103333,0.306143,196.1,***,196.1,400,0,0,0.309495,83.1901
"IOZ_P_GND_Post","IOZ_P_GND_Post",100052,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.01,-0.005,-0.007575,0.00125031,797.78,797.78,801.819,400,0,0,2.32912,20.8323
"IOZ_P_GND_Post","IOZ_P_GND_Post",100053,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.003,-0.007695,0.00151085,660.179,660.179,663.575,400,0,0,0.0479775,20.8323
"IOZ_P_GND_Post","IOZ_P_GND_Post",100054,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.011,0,-0.0067825,0.00237472,420.15,420.15,422.054,400,0,0,0.0528525,20.8323
"IOZ_P_GND_Post","IOZ_P_GND_Post",100055,"Parametric","t_slp_thrd_MPB",-3,3,"uA",-0.012,-0.002,-0.0069625,0.00231938,430.148,430.148,432.15,400,0,0,0.04773,20.8323
