Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"DIODE_GND","DIODE_GND",3016,"Parametric","",-1000,-300,"mV",-448.603,-440.478,-444.605,2.71814,17.7334,68.1096,17.7334,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3116,"Parametric","",-1000,-300,"mV",-448.056,-439.616,-444.044,3.08246,15.5768,60.1204,15.5768,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3216,"Parametric","",-1000,-300,"mV",-448.113,-440.082,-443.986,2.83974,16.9013,65.2658,16.9013,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3316,"Parametric","",-1000,-300,"mV",-447.116,-439.833,-443.13,2.47271,19.2946,75.0687,19.2946,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3416,"Parametric","",-1000,-300,"mV",-447.09,-439.796,-443.836,2.71472,17.6613,68.29,17.6613,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3516,"Parametric","",-1000,-300,"mV",-447.834,-439.616,-443.997,2.92353,16.4182,63.3939,16.4182,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3616,"Parametric","",-1000,-300,"mV",-447.745,-441.003,-444.621,2.40382,20.0544,77.0134,20.0544,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3716,"Parametric","",-1000,-300,"mV",-448.443,-441.435,-445.094,2.40914,20.0755,76.7779,20.0755,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3816,"Parametric","",-1000,-300,"mV",-449.927,-440.976,-445.062,2.96982,16.2818,62.2864,16.2818,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",3916,"Parametric","",-1000,-300,"mV",-449.666,-441.068,-444.699,3.03078,15.9144,61.0734,15.9144,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4016,"Parametric","",-1000,-300,"mV",-446.735,-438.774,-442.386,3.04963,15.5632,60.9489,15.5632,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4116,"Parametric","",-1000,-300,"mV",-448.374,-439.787,-443.946,3.00989,15.9415,61.5807,15.9415,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4216,"Parametric","",-1000,-300,"mV",-448.489,-440.311,-444.093,2.88737,16.6348,64.1769,16.6348,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4316,"Parametric","",-1000,-300,"mV",-448.28,-440.647,-444.179,2.78507,17.2562,66.524,17.2562,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4416,"Parametric","",-1000,-300,"mV",-448.337,-440.405,-444.139,2.81683,17.0569,65.7784,17.0569,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4516,"Parametric","",-1000,-300,"mV",-449.31,-441.341,-445.624,2.8018,17.325,65.9547,17.325,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4616,"Parametric","",-1000,-300,"mV",-449.869,-442.314,-446.542,2.74999,17.7628,67.0861,17.7628,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4716,"Parametric","",-1000,-300,"mV",-448.762,-440.249,-444.446,2.81724,17.0907,65.7327,17.0907,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4816,"Parametric","",-1000,-300,"mV",-447.561,-439.796,-444.085,2.45872,19.5339,75.3664,19.5339,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",4916,"Parametric","",-1000,-300,"mV",-450.516,-440.99,-446.366,3.20874,15.2049,57.5132,15.2049,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5016,"Parametric","",-1000,-300,"mV",-452.96,-442.663,-447.716,3.57848,13.7596,51.445,13.7596,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5116,"Parametric","",-1000,-300,"mV",-450.454,-441.843,-446.726,2.99181,16.3475,61.6432,16.3475,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5216,"Parametric","",-1000,-300,"mV",-450.364,-440.832,-445.876,3.3152,14.6674,55.7155,14.6674,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5316,"Parametric","",-1000,-300,"mV",-451.095,-441.964,-446.752,2.87714,17.0021,64.0969,17.0021,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5416,"Parametric","",-1000,-300,"mV",-451.35,-440.642,-446.148,3.51437,13.8619,52.5321,13.8619,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5516,"Parametric","",-1000,-300,"mV",-450.732,-440.405,-445.842,3.31401,14.6693,55.7389,14.6693,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5616,"Parametric","",-1000,-300,"mV",-447.827,-439.493,-443.85,2.84327,16.8643,65.2009,16.8643,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5716,"Parametric","",-1000,-300,"mV",-448.729,-440.705,-445.014,2.73294,17.6871,67.6909,17.6871,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5816,"Parametric","",-1000,-300,"mV",-449.473,-442.021,-446.243,2.53354,19.2409,72.8567,19.2409,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",5916,"Parametric","",-1000,-300,"mV",-447.459,-440.249,-444.303,2.64339,18.1966,70.0737,18.1966,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6016,"Parametric","",-1000,-300,"mV",-450.283,-440.476,-445.736,3.4287,14.1682,53.8848,14.1682,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6116,"Parametric","",-1000,-300,"mV",-450.617,-440.978,-446.265,3.09825,15.7363,59.5751,15.7363,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6216,"Parametric","",-1000,-300,"mV",-449.772,-440.762,-445.717,2.79251,17.3937,66.1631,17.3937,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6316,"Parametric","",-1000,-300,"mV",-451.603,-441.71,-447.481,3.40883,14.4214,54.0283,14.4214,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6416,"Parametric","",-1000,-300,"mV",-451.152,-441.449,-446.569,3.36144,14.5344,54.8802,14.5344,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6516,"Parametric","",-1000,-300,"mV",-446.784,-438.588,-443.279,2.85482,16.7295,65.0038,16.7295,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6616,"Parametric","",-1000,-300,"mV",-450.674,-440.908,-446.103,3.13858,15.5169,58.8267,15.5169,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6716,"Parametric","",-1000,-300,"mV",-446.384,-437.831,-442.42,2.88654,16.4465,64.3886,16.4465,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6816,"Parametric","",-1000,-300,"mV",-448.922,-440.093,-444.165,3.10051,15.499,59.7575,15.499,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",6916,"Parametric","",-1000,-300,"mV",-447.389,-439.174,-442.92,2.67262,17.8252,69.48,17.8252,8,0,0,0.0170547,***
"DIODE_GND","DIODE_GND",7016,"Parametric","",-1000,-300,"mV",-449.874,-440.125,-444.576,3.17875,15.1607,58.2435,15.1607,8,0,0,0.0170547,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3017,"Parametric","",-1600,75,"nA",-61,-46,-53.125,5.2763,8.09438,97.7248,8.09438,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3117,"Parametric","",-1600,75,"nA",-62,-46,-52.875,5.91457,7.20678,87.1929,7.20678,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3217,"Parametric","",-1600,75,"nA",-60,-45,-52.875,5.69304,7.48721,90.5858,7.48721,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3317,"Parametric","",-1600,75,"nA",-60,-45,-52.375,5.42316,7.82907,95.1244,7.82907,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3417,"Parametric","",-1600,75,"nA",-62,-47,-53.375,5.97465,7.16221,86.2882,7.16221,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3517,"Parametric","",-1600,75,"nA",-63,-46,-53.25,6.18177,6.91549,83.4038,6.91549,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3617,"Parametric","",-1600,75,"nA",-60,-46,-52.5,5.15475,8.24483,100.07,8.24483,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3717,"Parametric","",-1600,75,"nA",-62,-47,-53.375,5.28981,8.08945,97.4593,8.08945,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3817,"Parametric","",-1600,75,"nA",-60,-44,-52.625,6.16296,6.90279,83.6921,6.90279,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",3917,"Parametric","",-1600,75,"nA",-59,-44,-50.75,5.33854,7.85171,96.7337,7.85171,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",4017,"Parametric","",-1600,75,"nA",-62,-46,-53.25,5.28475,8.08932,97.5606,8.08932,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",4117,"Parametric","",-1600,75,"nA",-60,-42,-49.5,6.02376,6.88938,85.7991,6.88938,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",4217,"Parametric","",-1600,75,"nA",-58,-41,-49.25,6.36396,6.508,81.2256,6.508,8,0,0,0.0116366,***
"PIN2PIN_ODD_ROW","PIN2PIN_ODD_ROW",4317,"Parametric","",-1600,75,"nA",-59,-43,-50,5.45108,7.64374,94.7824,7.64374,8,0,0,0.0116366,***
