Device,Device ID,Part ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"10","",0,1,1,"1",1,5236,""
2,"11","",0,2,0,"65535",65535,5236,""
3,"12","",0,3,1,"1",1,5236,""
4,"13","",0,4,1,"1",1,5236,""
5,"14","",0,5,1,"1",1,5236,""
6,"19","",0,6,1,"1",1,5236,""
7,"16","",0,7,1,"1",1,5236,""
8,"17","",0,8,1,"1",1,5236,""
9,"10","",0,1,1,"1",1,5235,""
10,"11","",0,2,0,"65535",65535,5235,""
11,"12","",0,3,1,"1",1,5235,""
12,"13","",0,4,1,"1",1,5235,""
13,"14","",0,5,1,"1",1,5235,""
14,"19","",0,6,1,"1",1,5235,""
15,"16","",0,7,1,"1",1,5235,""
16,"17","",0,8,1,"1",1,5235,""
17,"10","",0,1,1,"1",1,5202,""
18,"11","",0,2,0,"65535",65535,5202,""
19,"12","",0,3,1,"1",1,5202,""
20,"13","",0,4,1,"1",1,5202,""
21,"14","",0,5,1,"1",1,5202,""
22,"19","",0,6,1,"1",1,5202,""
23,"16","",0,7,1,"1",1,5202,""
24,"17","",0,8,1,"1",1,5202,""
25,"10","",0,1,1,"1",1,5205,""
26,"11","",0,2,0,"65535",65535,5205,""
27,"12","",0,3,1,"1",1,5205,""
28,"13","",0,4,1,"1",1,5205,""
29,"14","",0,5,1,"1",1,5205,""
30,"19","",0,6,1,"1",1,5205,""
31,"16","",0,7,1,"1",1,5205,""
32,"17","",0,8,1,"1",1,5205,""
33,"10","",0,1,1,"1",1,5211,""
34,"11","",0,2,0,"65535",65535,5211,""
35,"12","",0,3,1,"1",1,5211,""
36,"13","",0,4,1,"1",1,5211,""
37,"14","",0,5,1,"1",1,5211,""
38,"19","",0,6,1,"1",1,5211,""
39,"16","",0,7,1,"1",1,5211,""
40,"17","",0,8,1,"1",1,5211,""
41,"10","",0,1,1,"1",1,5209,""
42,"11","",0,2,0,"65535",65535,5209,""
43,"12","",0,3,1,"1",1,5209,""
44,"13","",0,4,1,"1",1,5209,""
45,"14","",0,5,1,"1",1,5209,""
46,"19","",0,6,1,"1",1,5209,""
47,"16","",0,7,1,"1",1,5209,""
48,"17","",0,8,1,"1",1,5209,""
49,"10","",0,1,1,"1",1,5217,""
50,"11","",0,2,0,"65535",65535,5217,""
51,"12","",0,3,1,"1",1,5217,""
52,"13","",0,4,1,"1",1,5217,""
53,"14","",0,5,1,"1",1,5217,""
54,"19","",0,6,1,"1",1,5217,""
55,"16","",0,7,1,"1",1,5217,""
56,"17","",0,8,1,"1",1,5217,""
57,"10","",0,1,1,"1",1,5206,""
58,"11","",0,2,0,"65535",65535,5206,""
59,"12","",0,3,1,"1",1,5206,""
60,"13","",0,4,1,"1",1,5206,""
61,"14","",0,5,1,"1",1,5206,""
62,"19","",0,6,1,"1",1,5206,""
63,"16","",0,7,1,"1",1,5206,""
64,"17","",0,8,1,"1",1,5206,""
65,"10","",0,1,1,"1",1,5196,""
66,"11","",0,2,0,"65535",65535,5196,""
67,"12","",0,3,1,"1",1,5196,""
68,"13","",0,4,1,"1",1,5196,""
69,"14","",0,5,1,"1",1,5196,""
70,"19","",0,6,1,"1",1,5196,""
71,"16","",0,7,1,"1",1,5196,""
72,"17","",0,8,1,"1",1,5196,""
73,"10","",0,1,1,"1",1,5219,""
74,"11","",0,2,0,"65535",65535,5219,""
75,"12","",0,3,1,"1",1,5219,""
76,"13","",0,4,1,"1",1,5219,""
77,"14","",0,5,1,"1",1,5219,""
78,"19","",0,6,1,"1",1,5219,""
79,"16","",0,7,1,"1",1,5219,""
80,"17","",0,8,1,"1",1,5219,""
81,"10","",0,1,1,"1",1,5205,""
82,"11","",0,2,0,"65535",65535,5205,""
83,"12","",0,3,1,"1",1,5205,""
84,"13","",0,4,1,"1",1,5205,""
85,"14","",0,5,1,"1",1,5205,""
86,"19","",0,6,1,"1",1,5205,""
87,"16","",0,7,1,"1",1,5205,""
88,"17","",0,8,1,"1",1,5205,""
89,"10","",0,1,1,"1",1,5210,""
90,"11","",0,2,0,"65535",65535,5210,""
91,"12","",0,3,1,"1",1,5210,""
92,"13","",0,4,1,"1",1,5210,""
93,"14","",0,5,1,"1",1,5210,""
94,"19","",0,6,1,"1",1,5210,""
95,"16","",0,7,1,"1",1,5210,""
96,"17","",0,8,1,"1",1,5210,""
