Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,1,"VDD",1,"10",6.56005,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,3,"VDD",3,"12",6.4348,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,4,"VDD",4,"13",6.42127,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,5,"VDD",5,"14",6.78715,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,6,"VDD",6,"19",6.47097,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,7,"VDD",7,"16",6.62833,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,8,"VDD",8,"17",6.52188,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,1,"VDD",9,"10",6.55214,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,3,"VDD",11,"12",6.4348,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,4,"VDD",12,"13",6.42918,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,5,"VDD",13,"14",6.80296,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,6,"VDD",14,"19",6.47889,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,7,"VDD",15,"16",6.61645,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,8,"VDD",16,"17",6.52188,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,1,"VDD",17,"10",6.54422,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,3,"VDD",19,"12",6.42689,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,4,"VDD",20,"13",6.42522,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,5,"VDD",21,"14",6.78319,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,6,"VDD",22,"19",6.47493,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,7,"VDD",23,"16",6.61645,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,8,"VDD",24,"17",6.52584,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,1,"VDD",25,"10",6.57982,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,3,"VDD",27,"12",6.43085,"mA","P",0.00434636,***,""
"ICC_MAX_TOTAL_3CH_pwr",13000001,"",0,4,"VDD",28,"13",6.42918,"mA","P",0.00434636,***,""
