Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"DIODE_GND","DIODE_GND",3016,"Parametric","",-1000,-300,"mV",-450.76,-437.659,-446.569,4.63195,10.5477,39.8271,10.5477,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3116,"Parametric","",-1000,-300,"mV",-448.945,-437.403,-445.523,4.38466,11.063,42.1528,11.063,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3216,"Parametric","",-1000,-300,"mV",-449.725,-437.358,-445.879,4.68149,10.387,39.4547,10.387,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3316,"Parametric","",-1000,-300,"mV",-448.202,-435.779,-444.604,4.64928,10.3675,39.8195,10.3675,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3416,"Parametric","",-1000,-300,"mV",-448.794,-437.032,-445.332,4.3091,11.2422,42.9068,11.2422,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3516,"Parametric","",-1000,-300,"mV",-521.815,-437.944,-454.496,25.604,2.01135,7.1018,2.01135,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3616,"Parametric","",-1000,-300,"mV",-461.236,-437.602,-447.609,6.86877,7.16331,26.8069,7.16331,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3716,"Parametric","",-1000,-300,"mV",-450.585,-438.541,-446.556,4.61476,10.586,39.9764,10.586,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3816,"Parametric","",-1000,-300,"mV",-451.187,-439.648,-447.07,4.58121,10.7009,40.2317,10.7009,63,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",3916,"Parametric","",-1000,-300,"mV",-451.471,-439.477,-447.219,4.73517,10.3635,38.9132,10.3635,63,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",4016,"Parametric","",-1000,-300,"mV",-447.729,-434.695,-443.219,4.59833,10.382,40.3611,10.382,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",4116,"Parametric","",-1000,-300,"mV",-450.504,-438.456,-446.766,4.61523,10.6001,39.9571,10.6001,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",4216,"Parametric","",-1000,-300,"mV",-450.989,-438.887,-446.81,4.53423,10.7927,40.6676,10.7927,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",4316,"Parametric","",-1000,-300,"mV",-449.52,-437.826,-445.431,4.11277,11.787,44.9469,11.787,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",4416,"Parametric","",-1000,-300,"mV",-449.064,-437.984,-445.458,4.06453,11.929,45.4782,11.929,72,0,0,0.00858504,***
"DIODE_GND","DIODE_GND",4516,"Parametric","",-1000,-300,"mV",-450.93,-439.534,-446.915,4.17615,11.7265,44.1463,11.7265,72,0,0,0.00858504,***
